[INFO ] 2018-08-20 21:52:26,073 Main.main() - Application started at 2018-08-20T21:52:26.066688
[DEBUG] 2018-08-20 21:52:50,600 CreateNewModWizardManager.showAndWait() - {workingPath=C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod, modType=MAP, gameVersion=1.1, modName=Dwarfs, mapWidth=2048, mapHeight=2048}
[DEBUG] 2018-08-20 21:52:50,662 CreateNewModWizardManager.createModFile() - C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\Dwarfs.mod
[DEBUG] 2018-08-20 21:53:37,908 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-20 21:53:37,923 EU4Preloader.changeState() - loading...
[DEBUG] 2018-08-20 21:53:37,982 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-08-20 21:53:38,161 FileProvider.loadTerrain() - reading terrain map image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\Dwarfs\map\terrain.bmp
[DEBUG] 2018-08-20 21:53:38,252 FileProvider.loadRivers() - reading river map image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\Dwarfs\map\rivers.bmp
[DEBUG] 2018-08-20 21:53:38,308 FileProvider.loadHeightmap() - reading heightmap image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\Dwarfs\map\heightmap.bmp
[DEBUG] 2018-08-20 21:53:38,360 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-08-20 21:53:39,444 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-20 21:53:39,445 EU4Preloader.changeState() - loaded
[ERROR] 2018-08-20 21:53:58,004 ProvinceMapLayer.lambda$new$0() - null MouseX: 30.666666666666657 MouseY: 73.33333333333334
